Dataset,N,C1_True,C1_False,C2_Correct,C2_Incorrect,Δ_Correct,Δ_Incorrect,ConvDef,C1_Avg,C2_Avg,Overall,Null_Rate,C1_Null,C2_Null,Overall_Valid,Syc_pval,Syc_sig,FvD_pval,FvD_sig
truthfulqa_both,786,0.0,0.0,0.7633587786259542,0.6310432569974554,0.7633587786259542,0.6310432569974554,0.1323155216284988,0.0,0.6972010178117048,0.3486005089058524,0.5012722646310432,1.0,0.002544529262086514,0.6989795918367347,2.1142604201534695e-56,***,3.0980735318794546e-120,***
truthfulqa_labels_only,790,0.0,0.0,0.8443037974683544,0.5151898734177215,0.8443037974683544,0.5151898734177215,0.3291139240506329,0.0,0.6797468354430379,0.33987341772151897,0.5012658227848101,1.0,0.002531645569620253,0.6814720812182741,2.412528353427001e-52,***,1.7440603504673385e-105,***
truthfulqa_prompt_only,790,0.0,0.0,0.7987341772151899,0.5531645569620253,0.7987341772151899,0.5531645569620253,0.24556962025316464,0.0,0.6759493670886076,0.3379746835443038,0.5,1.0,0.0,0.6759493670886076,3.372950883494552e-47,***,5.450188595210433e-107,***
