Dataset,Variant,N,C1_True,C1_False,C2_Correct,C2_Incorrect,C1_Avg,C2_Avg,Δ_Correct,Δ_Incorrect,DDS
truthfulqa,v0,790,67.72151898734177,74.17721518987341,83.92405063291139,50.63291139240506,70.94936708860759,67.27848101265823,16.20253164556962,-23.544303797468345,39.746835443037966
truthfulqa,v1,790,49.36708860759494,83.16455696202532,58.22784810126582,75.82278481012659,66.26582278481013,67.02531645569621,8.860759493670884,-7.341772151898724,16.202531645569607
truthfulqa,v3,790,36.45569620253165,89.87341772151899,47.21518987341772,82.27848101265823,63.164556962025316,64.74683544303798,10.759493670886073,-7.594936708860757,18.35443037974683
truthfulqa,v5,790,38.734177215189874,78.60759493670886,59.87341772151898,74.55696202531645,58.67088607594937,67.21518987341771,21.13924050632911,-4.050632911392412,25.18987341772152
