Dataset,N,C1_Source,C1_True,C1_False,C2_Correct,C2_Incorrect,Δ_Correct,Δ_Incorrect,DDS,C1_Avg,C2_Avg,Overall,McN_Correct_pval,McN_Correct_h,McN_Correct_sig,McN_Incorrect_pval,McN_Incorrect_h,McN_Incorrect_sig,DDS_Var,DDS_Mean
truthfulqa_qwen-2.5-7b-instruct_ablation_para_v1,790,current,49.36708860759494,83.16455696202532,58.22784810126582,75.82278481012659,8.860759493670884,-7.341772151898724,16.202531645569607,66.26582278481013,67.0253164556962,66.64556962025317,5.4808702762423106e-08,-0.177967399249352,***,4.3373666334216375e-09,0.18250129501868795,***,0.34083640442236823,0.1620253164556962
truthfulqa_qwen-2.5-7b-instruct_ablation_para_v3,790,current,36.45569620253165,89.87341772151899,47.21518987341772,82.27848101265823,10.759493670886073,-7.594936708860757,18.35443037974683,63.16455696202532,64.74683544303798,63.95569620253164,2.0451544091314493e-12,-0.21858836588604214,***,2.7188213670780667e-11,0.22131868294244006,***,0.2890962986700849,0.18354430379746836
truthfulqa_qwen-2.5-7b-instruct_ablation_para_v5,790,current,38.734177215189874,78.60759493670886,59.87341772151898,74.55696202531645,21.13924050632911,-4.050632911392412,25.18987341772152,58.67088607594937,67.21518987341773,62.94303797468355,5.651808804478727e-26,-0.4260425809272732,***,0.008556547961075791,0.09573013736805791,***,0.5251546226566255,0.2518987341772152
