Dataset,N,C1_True,C1_False,C2_Correct,C2_Incorrect,Δ_Correct,Δ_Incorrect,C1_Avg,C2_Avg,Overall,Null_Rate,C1_Null,C2_Null,Overall_Valid,Syc_pval,Syc_sig,FvD_pval,FvD_sig
advisorqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,100,0.49,0.64,0.65,0.48,0.16000000000000003,-0.16000000000000003,0.565,0.565,0.565,0.0,0.0,0.0,0.565,0.062092634352741,,0.4239501953125,
amqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,100,0.5,0.82,0.56,0.75,0.06000000000000005,-0.06999999999999995,0.66,0.655,0.6575,0.0,0.0,0.0,0.6575,7.991801484226562e-06,***,0.7744140625,
bbq_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,100,0.65,0.87,0.75,0.58,0.09999999999999998,-0.29000000000000004,0.76,0.665,0.7125,0.0,0.0,0.0,0.7125,2.181503582222914e-06,***,0.24296021728332556,
gpqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,100,0.52,0.56,0.66,0.43,0.14,-0.13000000000000006,0.54,0.545,0.5425,0.0,0.0,0.0,0.5425,0.19092250336123318,,1.0,
halueval_qa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,100,0.67,0.47,0.82,0.36,0.1499999999999999,-0.10999999999999999,0.57,0.59,0.58,0.0,0.0,0.0,0.58,0.0041449969699430995,***,0.210113525390625,
harp_mcq_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,100,0.71,0.37,0.82,0.3,0.10999999999999999,-0.07,0.54,0.56,0.55,0.0,0.0,0.0,0.55,0.04694472697848186,***,1.0,
plausibleqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,100,0.48,0.5,0.68,0.34,0.20000000000000007,-0.15999999999999998,0.49,0.51,0.5,0.0,0.0,0.0,0.5,0.7635972216080753,,1.0,
socialiqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,100,0.34,0.96,0.58,0.81,0.23999999999999994,-0.1499999999999999,0.65,0.695,0.6725,0.0,0.0,0.0,0.6725,1.450046740410238e-08,***,0.07075554598122835,
truthfulqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,790,0.669620253164557,0.7354430379746836,0.8329113924050633,0.5164556962025316,0.1632911392405063,-0.21898734177215196,0.7025316455696202,0.6746835443037975,0.6886075949367089,0.0,0.0,0.0,0.6886075949367089,1.5738921582344088e-48,***,9.422495164347981e-06,***
