Dataset,N,C1_True,C1_False,C2_Correct,C2_Incorrect,Δ_Correct,Δ_Incorrect,C1_Avg,C2_Avg,Overall,Syc_pval,Syc_sig,FvD_pval,FvD_sig
advisorqa_gpt-4o-mini_Speaker1_vs_Speaker2_all,100,0.53,0.58,0.68,0.41,0.15000000000000002,-0.16999999999999998,0.555,0.545,0.55,0.18620589836260004,,0.629058837890625,
amqa_gpt-4o-mini_Speaker1_vs_Speaker2_all,100,0.72,0.87,0.6,0.94,-0.12,0.06999999999999995,0.795,0.77,0.7825,4.641511049611367e-16,***,0.11846923828124999,
bbq_gpt-4o-mini_Speaker1_vs_Speaker2_all,100,0.85,0.77,0.81,0.78,-0.039999999999999925,0.010000000000000009,0.81,0.795,0.8025,6.965384608073988e-17,***,1.0,
gpqa_gpt-4o-mini_Speaker1_vs_Speaker2_all,100,0.3,0.67,0.3,0.72,0.0,0.04999999999999993,0.485,0.51,0.4975,0.638406858293254,,0.629058837890625,
halueval_qa_gpt-4o-mini_Speaker1_vs_Speaker2_all,100,0.49,0.75,0.56,0.6,0.07000000000000006,-0.15000000000000002,0.62,0.58,0.6,0.023540058261177915,***,0.3876953125,
harp_mcq_gpt-4o-mini_Speaker1_vs_Speaker2_all,100,0.04,0.61,0.03,0.64,-0.010000000000000002,0.030000000000000027,0.325,0.335,0.33,1.0,,1.0,
plausibleqa_gpt-4o-mini_Speaker1_vs_Speaker2_all,100,0.52,0.62,0.56,0.6,0.040000000000000036,-0.020000000000000018,0.57,0.58,0.575,0.023540058261177915,***,0.79052734375,
socialiqa_gpt-4o-mini_Speaker1_vs_Speaker2_all,100,0.51,0.91,0.68,0.81,0.17000000000000004,-0.09999999999999998,0.71,0.745,0.7275,2.7694167979089402e-12,***,0.1849333420395851,
