Dataset,N,C1_Source,C1_True,C1_False,C2_Correct,C2_Incorrect,Δ_Correct,Δ_Incorrect,DDS,C1_Avg,C2_Avg,Overall,McN_Correct_pval,McN_Correct_h,McN_Correct_sig,McN_Incorrect_pval,McN_Incorrect_h,McN_Incorrect_sig,DDS_Var,DDS_Mean
truthfulqa_gpt-4o-mini_ablation_para_v1,790,current,51.64556962025316,86.07594936708861,63.29113924050633,82.91139240506328,11.64556962025317,-3.1645569620253298,14.8101265822785,68.86075949367088,73.10126582278481,70.98101265822785,1.0363075244891659e-16,-0.2361399771426298,***,0.0015471669302425245,0.08753132685721754,***,0.229964749238904,0.14810126582278482
truthfulqa_gpt-4o-mini_ablation_para_v3,790,current,52.40506329113924,86.9620253164557,55.69620253164557,85.18987341772151,3.2911392405063253,-1.7721518987341796,5.063291139240505,69.68354430379748,70.44303797468355,70.0632911392405,0.030414804699519724,-0.06605209785099042,***,0.08694889972991102,0.05121290745879392,,0.24553757410671365,0.05063291139240506
truthfulqa_gpt-4o-mini_ablation_para_v5,790,current,51.26582278481012,82.53164556962025,64.17721518987342,80.37974683544303,12.911392405063303,-2.151898734177223,15.063291139240526,66.89873417721519,72.27848101265822,69.58860759493672,1.9614947570663648e-14,-0.2621689299054768,***,0.09656519729770463,0.0553886178258427,,0.348195801954815,0.15063291139240506
